objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
Tom_001,chef.jpeg,,,Tom,Cooking,10-04-2023,Tom is a restaurant chef who feels unappreciated and wants to start a new business but worries about investments.,Food,"Chicago,IL",,,,,Image;StillImage,image/jpeg,eng,Public Domain,
Hong_002,doctor.avif,,,Doctor Hong,Research on food,10-04-2023,Doctor Hong's ideal career is to explore and experiment with novel ingredients and edibles.,Research,"Chicago,IL",,,,,Image;StillImage,image/jpeg,eng,Public Domain,
Jimmy_003,gossips.jpeg,,,Jimmy  and Dee,Gossips friends,10-04-2023,Jimmy and Dee were childhood friends who spread gossip and made fun of it all over town.,Friends,"Chicago,IL",,,,,Image;StillImage,image/jpeg,eng,Public Domain,
Timmy_004,king.jpeg,,,King Timmy,King for the city,10-04-2023,"Timmy rules the city with kindness and responsibility, ensuring happiness and respect for all.",Ruller,"Chicago,IL",,,,,Image;Image,image/jpeg,eng,Public Domain,
Kitty_005,nature.jpeg,,,Kitty,Nature lover,10-04-2023,Kitty loves spending time in nature and enjoying its beauty.,Feeling,"Chicago,IL",,,,,Image;Image,image/jpeg,eng,Public Domain,
Nine_006,store.jpeg,,,Nine,Bakery owner,10-04-2023,Nine runs a business. He started brainstorming and devising strategies to improve its success.,Business,"Chicago,IL",,,,,Image;StillImage,image/jpeg,eng,Public Domain,
Eric_007,war.jpeg,,, Eric,Fights for the freedom,10-04-2023,Eric fights for his freedom and supports the town as a protector.,Freedom,"Chicago,IL",,,,,Image;StillImage,image/jpeg,eng,Public Domain,
Waldo_008,event.jpeg,,,Waldo,Adventures in woods,10-04-2023,"Since childhood, Waldo has enjoyed going on adventures, learning new things, and making connections with strangers.",Angry,"Chicago,IL",,,,,Image;StillImage,image/jpeg,eng,Public Domain,
Hilt_009,working.jpeg,,,Hilt,Works hard for the family,10-04-2023,"Hilt leads a regular life where he diligently strives to provide for his family, consisting of three children and two pets.",Hopeless,"Chicago,IL",,,,,Image;StillImage,image/jpeg,eng,Public Domain,
June_010,funtime.jpeg,,,June and Libby,Funny all the time,10-04-2023,June and Libby were the newborn kids. They used to have fun and play around all the time.,Enjoying,"Chicago,IL",,,,,Image;StillImage,image/jpeg,eng,Public Domain,
